id,0,5,11,13,14
## Translators
#5  RusTranslation: Tommy-XL
#13 SChinese: fivefirex&ZeMingOH233 New Roles: 2T&MC-AS-Huier&xiaojin (Edit: Tanakanira)
#14 TChinese: NetherDragon_Tw (Edit: Soukunsandesu)
#?  German: DenKar

## 役職
Neutral,Neutral and Coven,Нейтрал и Ковен,第三陣営,中立阵营(包括巫师),中立陣營,Neutrale und Zirkel
SubRole,Modifiers,Модификатор,サブ役職,附加职业,附加職業,Modifikatoren
CovenChat,Coven Roles,Роли Ковена,Coven Roles,巫师职业,巫師陣營,Zirkel Rollen

# バニラ役職
Crewmate,Crewmate,Член Экипажа,クルーメイト,船员,船員,Besatzung
Engineer,Engineer,Инженер,エンジニア,工程师,工程師,Ingeneur
Scientist,Scientist,Ученый,科学者,科学家,科學家,Wissenschaftler 
GuardianAngel,GuardianAngel,Ангел-хранитель,守護天使,守护天使,守護天使,Schutzengel
Impostor,Impostor,Предатель,インポスター,伪装者,偽裝者;Verräter
Shapeshifter,Shapeshifter,Оборотень,シェイプシフター,变形者,變形者;Formwandler

# Default Role info
Crewmateinfo,Do your tasks and get the impostors out.,Выполняйте свои задания и избавляйтесь от предателей,Do your tasks and get the impostors out.,完成你的任务并找出伪装者,Erledige deine Aufgaben und finde die Verräter.
Engineerinfo,Use the Vents to Catch Killers in the Act,Используйте вентиляцию чтобы поймать убийц на месте преступления,Use the Vents to Catch Killers in the Act,可以使用通风口,Benutze die Luftschächte um die Mörder zu fangen.
Scientistinfo,Use Vitals to Catch Self Reports,Используйте пульсы чтобы узнать умер ли кто-то,Use Vitals to Catch Self Reports,随时使用生命监测能力。\n完成任务即可充电,Benutze Die Vitalanzeige.
Impostorinfo,Sabotage and leave none standing.,Саботируйте и не оставляйте никого в покое,Sabotage and leave none standing,通过破坏和击杀船员获得胜利,Sabotiere und töte alle.
Shapeshifterinfo,Shift to confuse the crew of who's who.,Морфитесь чтобы запутать членов экипажа кто есть кто,Shift to confuse the crew of who's who,变身成为其他船员来伪装自己,Verwandel dich und verwirre die Besatzung.
GuardianAngelinfo,Protect your fellow remaining crew.,Защитите живых членов экипажа от убийства,Protect your fellow remaining crew,为幸存船员展开护盾,Beschütze die Besatzung.

Crewmateghostinfo,Do your tasks and get the impostors out.,Выполняйте свои задания и избавляйтесь от предателей,Do your tasks and get the impostors out.,完成你的任务并找出内鬼,Erledige deine Aufgaben und finde die Verräter.
Impostorghostinfo,Sabotage and leave none standing.,Саботируйте и не оставляйте никого в покое,Sabotage and leave none standing,通过破坏和击杀船员获得胜利,Sabotiere und töte alle.

Hiderinfo,Complete tasks and be out of Seeker's sight.,Выполняйте свои задания и избавляйтесь от предателей,Do your tasks and get the impostors out.,完成你的任务并远离抓捕者,Erledige deine AUfgaben und Versteck dich vor dem Sucher.
Seekerinfo,Seek out all the Hiders and kill them.,Саботируйте и не оставляйте никого в покое,Sabotage and leave none standing,找出所有躲藏者并杀死他们,Suche alle Verstecker und töte Sie.

# 特殊インポスター役職
BountyHunter,Bounty Hunter,Bounty Hunter,バウンティハンター,赏金猎人,賞金獵人,Kopfgeld Jäger
Mare,Mare,Mare,メアー,梦魇,黑暗博士,Alptraum
Miner,Miner,Miner,Miner,矿工,Miner,Bergbauer
YingYanger,Ying Yanger,Ying Yanger,YingYanger,阴阳师,YingYanger,YingYanger
FireWorks,FireWorks,FireWorks,花火職人,烟花商人,煙火工匠,Pyrotechniker
SerialKiller,Mercenary,Mercenary,シリアルキラー,嗜血杀手,連環殺手,Söldner
ShapeMaster,Shape Master,Shape Master,シェイプマスター,千面鬼,變形大師,Meister der Verwandlung
Vampire,Vampire,Vampire,ヴァンパイア,吸血鬼,吸血鬼;Vampier
Vampress,Vampiress,Vampress,Vampress,血族公主,Vampirin
Consort,Consort,Consort,Consort,邪恶的护卫,Gemahl
Morphling,Morphling,Morphling,Morphling,变形者,Morpher
ImpostorGhost,Seeker Ghost,Seeker Ghost,ImpGhost,捣蛋鬼,Sucher Geist
Warlock,Warlock,Warlock,ウォーロック,术士,術士,Hexenmeister
Witch,Witch,Witch,ウィッチ,女巫,女巫,Hexe
Disperser,Disperser,Disperser,Disperser,驱散者,Zerstreuer
Mafia,Mafia,Mafia,マフィア,黑手党,黑手黨,Mafioso
Freezer,Freezer,Freezer,Freezer,冰术师,Freezer
EvilWatcher,Evil Watcher,Evil Watcher,イビルウォッチャー,邪恶的窥视者,邪惡的觀察者,Böser Beobachter
EvilGuesser,Assassin,Assassin,イビルゲッサー,邪恶的赌怪,邪惡的猜測者,Assasine
Puppeteer,Puppeteer,Puppeteer,パペッティア,傀儡师,傀儡師,Puppenspieler
Cleaner,Cleaner,Cleaner,Cleaner,清理工,Tatort Reiniger
TimeThief,Time Thief,Time Thief,タイムシーフ,蚀时者,時間小偷,Zeit Dieb
Sniper,Sniper,Sniper,スナイパー,狙击手,狙擊手,Scharfschütze
Silencer,Silencer,Silencer,Silencer,沉默者,消音器,Schalldämpfer
CorruptedSheriff,Traitor,Traitor,CorruptedSheriff,背叛的警长,腐敗的警官,Korrupter Sheriff
Swooper,Swooper,Swooper,Swooper,隐身人,Swooper
Camouflager,Camouflager,Camouflager,Camouflager,隐蔽者,Camouflager
Ninja,Ninja,Ninja,ニンジャ,忍者,Ninja
Grenadier,Grenadier,Grenadier,Grenadier,致盲师,Grenadier
VoteStealer,Pickpocket,Pickpocket,VoteStealer,窃票者,VoteStealer,Taschendieb
Manipulator,Manipulator,Manipulator,Manipulator,机械师,Manipulator,Manipulator
IdentityTheft,Identity Thief,Identity Theft,IdentityTheft,身份窃贼,IdentityTheft,Identitäts Dieb
Escapist,Escapist,Escapist,Escapist,Escapist,Houdini
Bomber,Bomber,Bomber,Bomber,Bomber,Bomber

# マッドメイト系役職
Madmate,Madmate,Madmate,マッドメイト,叛徒,叛徒,Madmate
Parasite,Parasite,Parasite,Parasite,寄居者,Parasite,Parasit
MadGuardian,MadGuardian,MadGuardian,マッドガーディアン,背叛的守卫,背叛的天使,MadGuardian
MadSnitch,MadSnitch,MadSnitch,マッドスニッチ,背叛的告密者,背叛的告密者,MadPetze
SKMadmate,SideKickMadmate,SideKickMadmate,サイドキックマッドメイト,叛徒小弟,叛徒跟班,JägerMadmate
CrewPostor,CrewPostor,CrewPostor,CrewPostor,舰长,CrewPostor

# 両陣営可能役職
Watcher,Watcher,Watcher,ウォッチャー,窥视者,觀察者,Beobachter
Guesser,Guesser,Guesser,ゲッサー,赌怪,猜測者,Guesser

# 特殊クルー役職
NiceWatcher,Nice Watcher,Nice Watcher,ナイスウォッチャー,正义的窥视者,正義的觀察者,Guter Beobachter
NiceGuesser,Vigilante,Vigilante,ナイスゲッサー,正义的赌怪,正義的猜測者,Bürgerwehr
Bait,Bait,Bait,ベイト,诱饵,誘餌,Köder
Bodyguard,Bodyguard,Bodyguard,Bodyguard,保镖,Bodyguard
Oracle,Oracle,Oracle,Oracle,神谕者,Orakel
Medic,Medic,Medic,Medic,医师,Sanitäter
Veteran,Veteran,Veteran,Veteran,老兵,老將,Veteran
Survivor,Survivor,Survivor,Survivor,求生者,Überlebenskünstler
Escort,Escort,Escort,Escort,护卫,Escort
Crusader,Crusader,Crusader,Crusader,十字军,Kreuzritter
Transporter,Transporter,Transporter,Transporter,传送师,Transporter
Mechanic,Mechanic,Mechanic,Mechanic,工程师,Mechaniker
Lighter,Lighter,Lighter,ライター,执灯人,小燈人,Feuerzeug
Mayor,Mayor,Mayor,メイヤー,市长,市長,Bürgermeister
SabotageMaster,SabotageMaster,SabotageMaster,サボタージュマスター,修理大师,破壞大師,Hausmeister
Sheriff,Sheriff,Sheriff,シェリフ,警长,警長,Sheriff
Investigator,Investigator,Investigator,Investigator,调查员,Ermittler
Mystic,Mystic,Mystic,Nystic,灵媒,Mystiker
Arsonist,Arsonist,Arsonist,アーソニスト,纵火犯,縱火犯,Brandstifter
Snitch,Snitch,Snitch,スニッチ,告密者,告密者,Petze
SpeedBooster,SpeedBooster,SpeedBooster,スピードブースター,增速者,加速器,Speed Booster
Physicist,Physicist,Physicist,Physicist,科学家,Physicist,Physiker
Doctor,Doctor,Doctor,ドクター,医生,醫生,Doktor
CrewmateGhost,Hider Ghost,Hider Ghost,CrewmateGhost,胆小鬼,CrewmateGhost,Besatzung Gheist
Trapper,Trapster,Trapster,トラッパー,陷阱师,設陷者,Fallensteller
Dictator,Dictator,Dictator,ディクテーター,独裁者,獨裁主義者,Diktator
Child,Child,Child,Child,小孩,小孩,Kind
Sleuth,Sleuth,Sleuth,Sleuth,侦探,偵探,Spürhund
Psychic,Psychic,Psychic,Psychic,通灵师,Psychic,Psychic
Alturist,Altruist,Altruist,Alturist,祭师,ALtruist
Medium,Medium,Medium,Medium,警探,Medium
Bastion,Bastion,Bastion,Bastion,埋雷兵,炸彈師,Bastion
Demolitionist,Demolitionist,Demolitionist,Demolitionist,同命爆手,拆遷者,Sprengmeister

# 第三陣営役職
Jester,Jester,Jester,ジェスター,小丑,小丑,Hoffnar
Phantom,Phantom,Phantom,Phantom,幻影,Phantom
Terrorist,Terrorist,Terrorist,テロリスト,恐怖分子,恐怖分子,Terrorist
Executioner,Executioner,Executioner,エクスキューショナー,处刑人,劊子手,Henker
Swapper,Swapper,Swapper,Swapper,挑衅者,Swapper,Swapper
